,verbalization,subjectCQ,propertyCQ,objectCQ,theme
55,A fictional character's birth name is a name.,What is a name?,What is the relation between a fictional character and a name?,What is the birth name of a fictional character?,Comic
56,A fictional character is born in a city.,Who is born in a city?,What is the relation between a fictional character and a city?,Where is a fictional character born in?,Comic
57,A fictional character's father is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a fictional character's father?,Comic
58,A fictional character's native language is a language.,What is a language?,What is the relation between a fictional character and a language?,What is the native language of a fictional character?,Comic
59,A fictional character's eye color is a color.,What is a color?,What is the relation between a fictional character and a color?,What is the eye color of a fictional character?,Comic
60,A fictional character's hair color is a color.,What is a color?,What is the relation between a fictional character and a color?,What color is a fictional character's hair?,Comic
61,A fictional character is a child of a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a child of a fictional character?,Comic
62,A fictional character is a sibling of a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a sibling of a fictional character?,Comic
63,-,-,-,-,Comic
64,A franchise is a media franchise of a fictional character.,What is a franchise a media franchise of?,What is the relation between a fictional character and a franchise?,What is the media franchise of a fictional character?,Comic
65,"A fictional language is one of the language spoken, written or signed in a fictional character.",What is a fictional language?,What is the relation between a fictional character and a fictional language?,"What is spoken, written or signed by a fictional character?",Comic
66,A fictional character is a member of a family.,Who is a member of a family?,What is the relation between a fictional character and a family?,What family is a fictional character a member of?,Comic
67,A person is a performer of a fictional character.,Who is a performer of a fictional character?,What is the relation between a person and a fictional character?,What fictional character is a person a performer of?,Comic
68,A fictional character is from a state.,Who is from a state?,What is the relation between a fictional character and a state?,Where is a fictional character from?,Comic
69,A person is the voice actor of a fictional character.,Who is the voice actor of a fictional character?,What is the relation between a person and a fictional character?,What is a person a voice actor of?,Comic
70,A fictional character is a name in the native language.,What is a name in the native language?,What is the relation between a fictional character and a name?,What is the name in the native language of a fictional character?,Comic
71,A fictional character's given name is a name?,What is a name?,What is the relation between a fictional character and a name?,What is the given name of a fictional character?,Comic
72,A fictional character is a member of a group of fictional characters.,Who is a member of a group of fictional characters?,What is the relation between a fictional character and a group of fictional characters?,What is a fictional character a member of?,Comic
73,A fictional character has an ability.,Who has an ability?,What is the relation between a fictional character and an ability?,What ability does a fictional character have?,Comic
74,A fictional character is created by a person.,What is created by a person?,What is the relation between a fictional character and a person?,Who created a fictional character?,Comic
75,A fictional character is from a fictional universe.,Who is from a fictional universe?,What is the relation between a fictional character and a fictional universe?,Where is a fictional character from?,Comic
76,A fictional character is a student.,Who is a student?,What is the relation between a fictional character and a role?,What is a fictional character?,Comic
77,The gender of a fictional character is a gender.,What is a gender?,What is the relation between a fictional character and a gender?,What is the gender of a fictional character?,Comic
78,A fictional character is present in a work.,Who is present in a work?,What is the relation between a fictional character and a work?,Where is a fictional character present?,Comic
79,A fictional character has a syndrome.,Who has a syndrome?,What is the relation between a fictional character and a syndrome?,What syndrome does a fictional character have?,Comic
80,A fictional character has an ability.,Who has an ability?,What is the relation between a fictional character and an ability?,What ability does a fictional character have?,Comic
81,A fictional character is a genre. ,What is a genre?,What is the relation between a fictional character and a genre?,What genre is a fictional charcter?,Comic
82,A fictional character is the owner of a vehicle.,Who is the owner of a vehicle?,What is the relation between a fictional character and a vehicle?,What does a fictional character own?,Comic
83,A fictional character has a profession.,Who has a profession?,What is the relation between a fictional character and a profession?,What is the profession of a fictional character?,Comic
84,A fictional character's sexual orientation is a sexual orientation.,Who has a sexual orientation?,What is the relation between a fictional character and sexual orientation?,What is the sexual orientation of a fictional character?,Comic
85,A fictional character is published in a website.,What is published in a website?,What is the relation between a fictional character and a website?,Where is a fictional character published?,Comic
86,A fictional character's facial hair is a facial hair.,What is facial hair?,What is the relation between a fictional character and facial hair?,What is a fictional character's facial hair?,Comic
87,A fictional character is a student of a fictional character.,Who is a student of a fictional character?,What is the relation between two fictional characters?,What fictional character is a fictional character a student of?,Comic
88,A fictional character is a female human.,Who is a female human?,What is the relation between a fictional character and a female human?,What is a fictional character?,Comic
89,A fictional character's nickname is a nickname.,What is a nickname?,What is the relation between a fictional character and a nickname?,What is the nickname of a fictional character?,Comic
90,A fictional agency is the employers of a fictional character.,What is a fictional agency?,What is the relation between a fictional character and a fictional agency?,Who is the employer of a fictional character?,Comic
91,A fictional character is published in a time.,What is published in a time?,What is the relation between a fictional character and a time?,When is a fictional character published?,Comic
92,-,-,-,What started at a time?,Comic
93,A fictional character is involved in a war.,Who is involved in a war?,What is the relation between a fictional character and a war?,What was a fictional character involved in?,Comic
94,A fictional character has a mass.,What has a mass?,What is the relation between a fictional character and a mass?,What is the mass of a fictional character?,Comic
95,A fictional character is the same as a fictional character.,What is the same as a fictional character?,What is the relation between two fictional characters?,What is the same as a fictional character?,Comic
96,A book character's noble title is a fictional title.,What is a fictional title?,What is the relation between a book character and a fictional title?,What is the fictional title of a book character?,Comic
97,A comics character is a sidekick of a fictional character.,Who is a sidekick of a fictional character?,What is the relation between a comics character and a fictional character?,Who is the sidekick of a comics character?,Comic
98,A fictional character is a certain age.,Who is a certain age?,What is the relation between a fictional character and age?,What is the age of a fictional character?,Comic
99,A fictional character's pseudonym is a pseudonym.,What is a pseudonym?,What is the relation between a fictional character and a pseudonym?,What is the pseudonym of a fictional character?,Comic
100,A fictional character is a member of an army.,Who is a member of an army?,What is the relation between a fictional character and an army?,What is a fictional character a member of?,Comic
101,A fictional character is a chief manager.,Who is a chief manager?,What is the relation between a fictional character and a chief manager?,What is a fictional character?,Comic
102,A fictional character plays sport.,Who plays sport?,What is the relation between a fictional character and a sport?,What sport does a fictional character play?,Comic
103,A fictional character's name in kana is a name.,What is a name?,What is the relation between a fictional character and a name?,What is the name in kana of a fictional character?,Comic
104,A character has a blood type.,Who has a blood type?,What is the relation between a character and a blood type?,What is the blood type of a character?,Comic
105,A fictional character is a significant person for a fictional character.,Who is a significant person for a fictional character?,What is the relation between two fictional characters?,What is a fictional character a significant person for?,Comic
106,-,What is published by a publisher?,-,-,Comic
107,The hairstyle of a fictional character is a hairstyle.,What is a hairstyle?,What is the relation between a fictional character and a hairstyle?,What is the hairstyle of a fictional character?,Comic
108,A fictional character's military rank is a rank.,What is a rank?,What is the relation between a fictional character and a rank?,What is the military rank of a fictional character?,Comic
109,A fictional character is educated at a fictional school.,Who is educated at a fictional school?,What is the relation between a fictional character and a fictional school?,Where is a fictional character educated at?,Comic
110,A character is a villain.,Who is a villain?,What is the relation between a fictional character and a villain?,What is a fictional character?,Comic
111,A fictional character's birthday is on a time.,What is on a time?,What is the relation between a fictional character and a time?,When is the birthday of a fictional character?,Comic
112,A fictional character is founded in a time.,What is founded in a time?,What is the relation between a fictional character and a time?,When is a fictional character founded?,Comic
113,-,What is from a country?,-,-,Comic
114,A fictional character has a height.,What has a hight?,What is the relation between a fictional character and a hight?,What is the height of a fictional character?,Comic
115,A fictional character is a student of a fictional character.,Who is a student of a fictional character?,What is the relation between two fictional characters?,Who does a fictional character has as a student?,Comic
116,A fictional character is born on a time.,Who is born in a time?,What is the relation between a fictional character and a time?,When is a fictional character born?,Comic
117,A fictional character is part of manga.,Who is part of manga?,What is the relation between a fictional character and manga?,What is a fictional character part of?,Comic
118,A fictional character's residence is a fictional city.,Who's residence is a fictional city?,What is the relation between a fictional character and a fictional city?,What is the residence of a fictional character?,Comic
119,A fictional character is a relative of a fictional character.,Who is a relative of a fictional character?,What is the relation between two fictional characters?,Who is a relative of a fictional character?,Comic
120,A fictional character is inspired from a fictional character.,Who is inspired from a fictional character?,What is the relation between two fictional characters?,Who is a fictional character inspired from?,Comic
121,A fictional character wears a headwear.,Who wears a headwear?,What is the relation between a fictional character and a headwear?,What does a fictional character wear?,Comic
122,A fictional character is from an ethnic group. ,Who is from an ethnic group?,What is the relation between a fictional character and an ethnic group?,What ethnic group is a fictional character from?,Comic
123,A fictional character's mother is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is the mother of a fictional character?,Comic
124,A fictional character is named after a fictional character.,What is named after a fictional character?,What is the relation between fictional characters?,Who is a fictional character named after?,Comic
125,A person is a contributor to the creative work or subject of a fictional character.,Who is a contributor to the creative work or subject of a fictional character?,What is the relation between a person and a fictional character?,What is a person a contributor to the creative work or subject?,Comic
126,A fictional character first appeared in a film.,Who first appeared in a film?,What is the relation between a fictional character and a film?,Where did a fictional character first appear?,Comic
127,A fictional princess is based on a book character.,Who is based on a book character?,What is the relation between a fictional princess and a book character?,What is a fictional princess based on?,Comic
128,A fictional character is a derivative work of a series.,What is a derivative work of a series?,What is the relation between a fictional character and a series?,What is a fictional character a derivative work of?,Comic
129,A book character is the unmarried partner of a character.,Who is the unmarried partner of a character?,What is the relation between characters?,Who is a book character the unmarried partner of?,Comic
130,A fictional character's narrative role is a role.,What is a role?,What is the relation between a fictional character and a role?,What is a fictional character's narrative role?,Comic
131,A fictional character is different from a fictional character.,What is different from a fictional character?,What is the relation between fictional characters?,What is different from a fictional character?,Comic
132,A fictional character's home world is a fictional planet.,What is a fictional planet?,What is the relation between a fictional character and a fictional planet?,What is the home world of a fictional character?,Comic
133,A fictional character's wife is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a fictional character's wife?,Comic
134,A fictional character's birth name is a name.,What is a name?,What is the relation between a fictional character and a name?,What is the birth name of a fictional character?,Comic
135,A fictional character is born in a city.,Who is born in a city?,What is the relation between a fictional character and a city?,Where is a fictional character born in?,Comic
136,A fictional character's father is a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a fictional character's father?,Comic
137,A fictional character's native language is a language.,What is a language?,What is the relation between a fictional character and a language?,What is the native language of a fictional character?,Comic
138,A fictional character's eye color is a color.,What is a color?,What is the relation between a fictional character and a color?,What is the eye color of a fictional character?,Comic
139,A fictional character's hair color is a color.,What is a color?,What is the relation between a fictional character and a color?,What color is a fictional character's hair?,Comic
140,A fictional character is a child of a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a child of a fictional character?,Comic
141,A fictional character is a sibling of a fictional character.,What is a fictional character?,What is the relation between fictional characters?,Who is a sibling of a fictional character?,Comic
142,-,-,-,-,Comic
143,A franchise is a media franchise of a fictional character.,What is a franchise a media franchise of?,What is the relation between a fictional character and a franchise?,What is the media franchise of a fictional character?,Comic
144,"A fictional language is one of the language spoken, written or signed in a fictional character.",What is a fictional language?,What is the relation between a fictional character and a fictional language?,"What is spoken, written or signed by a fictional character?",Comic
145,A fictional character is a member of a family.,Who is a member of a family?,What is the relation between a fictional character and a family?,What family is a fictional character a member of?,Comic
146,A person is a performer of a fictional character.,Who is a performer of a fictional character?,What is the relation between a person and a fictional character?,What fictional character is a person a performer of?,Comic
147,A fictional character is from a state.,Who is from a state?,What is the relation between a fictional character and a state?,Where is a fictional character from?,Comic
148,A person is the voice actor of a fictional character.,Who is the voice actor of a fictional character?,What is the relation between a person and a fictional character?,What is a person a voice actor of?,Comic
149,A fictional character is a name in the native language.,What is a name in the native language?,What is the relation between a fictional character and a name?,What is the name in the native language of a fictional character?,Comic
150,A fictional character's given name is a name?,What is a name?,What is the relation between a fictional character and a name?,What is the given name of a fictional character?,Comic
151,A fictional character is a member of a group of fictional characters.,Who is a member of a group of fictional characters?,What is the relation between a fictional character and a group of fictional characters?,What is a fictional character a member of?,Comic
152,A fictional character has an ability.,Who has an ability?,What is the relation between a fictional character and an ability?,What ability does a fictional character have?,Comic
153,A fictional character is created by a person.,What is created by a person?,What is the relation between a fictional character and a person?,Who created a fictional character?,Comic
154,A fictional character is from a fictional universe.,Who is from a fictional universe?,What is the relation between a fictional character and a fictional universe?,Where is a fictional character from?,Comic
155,A fictional character is a student.,Who is a student?,What is the relation between a fictional character and a role?,What is a fictional character?,Comic
156,The gender of a fictional character is a gender.,What is a gender?,What is the relation between a fictional character and a gender?,What is the gender of a fictional character?,Comic
157,A fictional character is present in a work.,Who is present in a work?,What is the relation between a fictional character and a work?,Where is a fictional character present?,Comic
0, The wine has the hashtag rossesedidolceacqua,Who has the hashtag rossesedidolceacqua,What is the relation between The wine and the hashtag rossesedidolceacqua,What hashtag does the wine have?,Food
1,The bread made with the aid of leavening agents is the opposite of a type of bread,What is the opposite of a type of bread,What is the relation between The bread made with the aid of leavening agents and a type of bread,What is the opposite of The bread made with the aid of leavening agents ,Food
2, The type of bread common in parts of Spain has a mass of 60 gram,Who has a mass of 60 gram,What is the relation between The type of bread common in parts of Spain and a mass of 60 gram,What mass does the type of bread common in parts of Spain have?,Food
3,The food items served before the main courses of a meal  is followed by a primary liquid food,What is followed by a primary liquid food,What is the relation between The food items served before the main courses of a meal  and a primary liquid food,By what is The food items served before the main courses of a meal followed by,Food
4,The Scoville grade of hot pepper is 20000,Whose scoville grade is 20000,What is the relation between The Scoville grade of hot pepper and 20000,How much is the scoville grade of hot pepper?,Food
5,"The French, Dutch and Belgian liquor was founded by a physician and chemist of Leyden, Netherlands","Who was founded by a physician and chemist of Leyden, Netherlands","What is the relation between The French, Dutch and Belgian liquor and a physician and chemist of Leyden, Netherlands","Who was the founder of The French, Dutch and Belgian liquor ",Food
6,The culture of bread not inflated by yeast or other leaveners is Christianity,Whose culture is Christianity,What is the relation between The culture of bread not inflated by yeast or other leaveners and Christianity,What is The culture of bread not inflated by yeast or other leaveners ,Food
7,The milk processed by pasteurization has an effect on cheese produced with pasteurized milk,Who has an effect on cheese produced with pasteurized milk,What is the relation between The milk processed by pasteurization and the cheese produced with pasteurized milk,Where does The milk processed by pasteurization have an effect,Food
8,The brand of cheese was commercialized in 1952,What was commercialized in 1952,What is the relation between The brand of cheese and 1952  ,When was The brand of cheese commercialized ,Food
9,The company is a product or material produced as a kind of liquid,What is a product or material produced as a kind of liquid,What is the relation between The and a product or material produced as a kind of liquid  ,As what is The company produced?,Food
10,Was wollt ihr denn?! is the motto of a trademark,What is the motto of a trademark,What is the relation between The Was wollt ihr denn?! and the motto of a trademark,Whose moto is Was wollt ihr denn?! ,Food
11,The American grocery manufacturing and processing conglomerate is the parent organisation of brand of mustard,Which organisation has the American grocery manufacturing and processing conglomerate as a parent? ,What is the relation between The American grocery manufacturing and processing conglomerate and the brand of mustard,Who  is the parent organisation of brand of mustard,Food
12,The deep-fried strips or wedges of potato should be served in high temeperature,What should be served in high temeperature,What is the relation between The deep-fried strips or wedges of potato and the high temeperature,In what temperature should The deep-fried strips or wedges of potato be served,Food
13,The form of rusk  is a part of the same coincidence,What is a part of the same coincidence,What is the relation between The form of rusk  and a part of the same coincidence,Where is the form of rusk part of?,Food
14,The species of plant are a taxon of Crude drug,What is a taxon of Crude drug,The species of plant and the taxon of Crude drug,On which taxon are the species of plant?,Food
15,he Japanese snack food was created by Japanese confectionery company,What was created by Japanese confectionery company, The Japanese snack and the Japanese confectionery company,Who create the Japanese snack food?,Food
16,The herbal bitters is located in a city and seaport in northeastern Italy,Which one  is located in a city and seaport in northeastern Italy,What is the relation between The herbal bitters and a city and seaport in northeastern Italy   ,Where are the herbal bitters located?,Food
17,"The wine made in Lesbos, Greece is a facet of Greek island located in the northeastern Aegean Sea",What is a facet of Greek island located in the northeastern Aegean Sea,"What is the relation between The wine made in Lesbos, Greece and the Greek island located in the northeastern Aegean Sea   ","In which facet is the wine made in Lesbos, Greece of? ",Food
18,はるまき is the name of the type of dim sum in kana,Whose name in kana is  はるまき,What is the relation between The はるまき and the name of the type of dim sum in kana  ,How is the name of the type of dim sum in kana,Food
19,"The official name of class of products including bubliki, baranki and sushki breads  is Ring-shaped rolls",Whose official name is Ring-shaped rolls?,"The official name of class of products including bubliki, baranki and sushki breads  and Ring-shaped rolls","How is the official name of class of products including bubliki, baranki and sushki breads ?",Food
20,The use of herbal tea prepared from the leaves of the coffee plant is  the act of putting an object under warm water for a relatively long period of time,What  is  the act of putting an object under warm water for a relatively long period of time,What is the relation between The use of herbal tea prepared from the leaves of the coffee plant and the act of putting an object under warm water for a relatively long period of time,How is called The use of herbal tea prepared from the leaves of the coffee plant ,Food
21,The chemical compound is found in the taxon of species of plant,What is found in the taxon of species of plant,What is the relation between The chemical compound and the taxon of species of plant,Where is The chemical compound found ,Food
22,The chemical compound is an ingredient in a sandwich cookie made by Kraft,Where is the chimical compound an ingredient? ,What is the relation between The chemical compound and an ingredient in a sandwich cookie made by Kraft,What is an ingredient in a sandwich cookie made by Kraft,Food
23,The French cheese has a area of 3500000 hectares,Who has a area of 3500000 hectares,What is the relation between The French cheese and 3500000 hectares,How much is the area of the french cheese,Food
24,"The French, Dutch and Belgian liquor  has an alcohol volume of 30 volume percent",Who has an alcohol volume of 30 volume percent,"The French, Dutch and Belgian liquor  and the alcohol volume of 30 volume percent","How much is the alcohol volume of The French, Dutch and Belgian liquor ",Food
25,The Finnish brand of vodka's headquarters are in municipality in the region of South Ostrobothnia in Finland,Whose headquarters are in municipality in the region of South Ostrobothnia in Finland,What is the relation between The Finnish brand of vodka's headquarters and the municipality in the region of South Ostrobothnia in Finland,Where are the headquarters of the Finnish brand of vodka?,Food
26,The species of plant has a taxon rank of species,Who has a taxon rank of species,What is the relation between The species of plant and the taxon rank of species,What taxon does the species of plant have?,Food
27, The plant expert is the inventor of Japanese ramen with noodles eaten from a separate bowl,What has the plant expert invented?,What is the relation between The plant expert and the Japanese ramen with noodles eaten from a separate bowl,Who is the inventor of Japanese ramen with noodles eaten from a separate bowl,Food
28,The mango cultivar is the taxon name of Mangifera indica ‘Lippens’,How is the taxon name of Mangifera indica ‘Lippens’,What is the relation between The mango cultivar and Mangifera indica ‘Lippens’,To whom is The mango cultivar a taxon name ,Food
29,"The Djungelvrål is a animal of the ""higher primates""","Who is a animal of the ""higher primates""","What is the relation between The Djungelvrål and the ""higher primates""",How is The Djungelvrål as an animal ,Food
30,The start time of mochi made with sakura is 1717,Who has a start time of 1717,What is the relation between The start time of mochi made with sakura and 1717  ,When is the start time of mochi made with sakura?,Food
31,The American breakfast dish was invented in the 19th century,What was invented in the 19th century,What is the relation between The American breakfast dish and the 19th century   ,When was the American breakfast dish invented?,Food
32,The species of plant is the parent taxon of subspecies of plant,Which is the plant that has the species of plant as a parent taxon?,What is the relation between The species of plant and the subspecies of plant,What is the parent taxon of subspecies of plant,Food
33,The apple cultivar is based on apple cultivar ,Who is based on apple cultivar ,What is the relation between The apple cultivar and the apple cultivar    ,On what is based the apple cultivar?,Food
34,The ice cream with natural or artificial blackberry flavoring has the quality of   fruit of Rubus ,Who has the quality of fruit of Rubus ,What is the relation between The ice cream with natural or artificial blackberry flavoring and the quality of   fruit of Rubus ,What quality does The ice cream with natural or artificial blackberry flavoring have,Food
35,The Korean dish made from squid and pork belly is a Romanized version of osam-pulgogi  by McCune-Reischauer ,What is a Romanized version of osam-pulgogi  by McCune-Reischauer ,What is the relation between The Korean dish made from squid and pork belly and a Romanized version of osam-pulgogi  by McCune-Reischauer ,What version is The Korean dish made from squid and pork belly ?,Food
37,The brand of cheese product has 50463 followers on social media,Who has 50463 followers on social media,What is the relation between The brand of cheese product and 50463 followers on social media,How many followers does the brand of cheese product have?,Food
38,The French cheese produced 3196 tonne,Who produced 3196 tonne,What is the relation between The French cheese and 3196 tonne,How many tonne produced the french cheese?,Food
39,The form of shish kebab is said to be the same as class of roasted meat dishes,What is said to be the same as class of roasted meat dishes,What is the relation between The form of shish kebab and the class of roasted meat dishes,is said to be the same as The form of shish kebab ,Food
40,The Swedish butter brand owned by Unilever is owned by food company,What is owned by food company,What is the relation between The Swedish butter brand owned by Unilever and the food company,Who owns the Swedish butter brand?,Food
41,The wine is in a color,What is in a color,What is the relation between The wine and a color,What is wine?,Food
42,The Oil from the seeds of Perilla ocymoides is used in process of refining or protecting a wooden surface  ,What  is used in process of refining or protecting a wooden surface  ,What is the relation between The Oil from the seeds of Perilla ocymoides and the process of refining or protecting a wooden surface  ,Where is The Oil from the seeds of Perilla ocymoides used ,Food
43,The type of lambic beer is made by spontaneous fermentation,What is made by spontaneous fermentation,What is the relation between The type of lambic beer and the spontaneous fermentation,How is The type of lambic beer made by ,Food
44,The chewing gum is a product of American candy manufacture,Which one is a product of American candy manufacture,What is the relation between The chewing gum and the American candy manufacture,What product is the chewing gum?,Food
45,The Beko mochi is native to prefecture of Japan,Who  is native to prefecture of Japan,What is the relation between The Beko mochi and the prefecture of Japan,To which is Beko mochi a native?,Food
46,The potato dish is a dish from a country in southwestern Europe,Which one is a dish from a country in southwestern Europe,What is the relation between The potato dish and a country in southwestern Europe,Where is the potato dish from?,Food
47,The species of plant are a natural product of the taxon of fruit of Passiflora edulis  ,Which taxon of fruit does the species of plant are a natural product,What is the relation between The species of plant and the taxon of fruit of Passiflora edulis  ,Which one are a natural product of the taxon of fruit of Passiflora edulis  ,Food
48,The common name of species of fish is Dorade Royale,Whose common name is Dorade Royale?,What is the relation between The common name of species of fish and Dorade Royale,How is the common name of species of fish?,Food
49,"The Indonesian rice cake is located in a City in West Java Province, Indonesia","What is located in a City in West Java Province, Indonesia","What is the relation between The Indonesian rice cake and a City in West Java Province, Indonesia  ",Where is the Indonesian rice cake located?,Food
50,The seventh edition of Russian encyclopedic dictionary describes food,What does The seventh edition of Russian encyclopedic dictionary describe,What is the relation between The seventh edition of Russian encyclopedic dictionary and food,Who describes food,Food
51,"The pan-roasted green tea from the area of Longjing Village in Hangzhou, China has the native label 龍井茶",Who has the native label 龍井茶,"What is the relation between The pan-roasted green tea from the area of Longjing Village in Hangzhou, China and the native label 龍井茶",What native label does the pan-roasted green tea have?,Food
52,The Italian cheese was created in autonomous region in Northern Italy,Which one was created in autonomous region in Northern Italy,What is the relation between The Italian cheese and the autonomous region in Northern Italy,Where was the Italian cheese created?,Food
53,The wine growing area is located in the administrative territorial entity of French department in Nouvelle-Aquitaine,What is located in the administrative territorial entity of French department in Nouvelle-Aquitaine,What is the relation between The wine growing area and the administrative territorial entity of French department in Nouvelle-Aquitaine,Where is The wine growing area located ,Food
54,The species of fish is different from the family name,What  is different from the family name,What is the relation between The species of fish and the family name,What  is different from The species of fish ,Food
55,"The American singer, songwriter, actress, and activist is the name of the artist","Whose name is The American singer, songwriter, actress, and activist ","What is the relation between The American singer, songwriter, actress, and activist and the name of the artist",What is the name of the artist,Food
56,The catalog code for apple cultivar is 2000-046,Whose catalog code is 2000-046,What is the relation between The catalog code for apple cultivar and 2000-046,What is the catalog code for apple cultivar?,Food
57,The kebab from the Turkish cuisine is part of culinary traditions of Turkey,What  is part of culinary traditions of Turkey,What is the relation between The kebab from the Turkish cuisine and the culinary traditions of Turkey,Where is the kebab from the Turkish cuisine part of?,Food
58,The dark sort of sweet cherries was founded in 1966,What was founded in 1966,What is the relation between The dark sort of sweet cherries and 1966,When was the dark sort of sweet cherries founded?,Food
59,The Italian cheese has a quality policy of the European Union for food,Who has a quality policy of the European Union for food,What is the relation between The Italian cheese and a quality policy of the European Union for food,What does the italian cheese have? ,Food
60,The dairy product is a dish from the country in western Europe,Who is a dish from the country in western Europe,What is the relation between The dairy product and a dish from the country in western Europe,Where is the dairy product from?,Food
61,The beverage of iced tea and lemonade is made from lemon-flavored beverage,What  is made from lemon-flavored beverage,What is the relation between The beverage of iced tea and lemonade and the lemon-flavored beverage  ,From what is the beverage of iced tea and lemonade made from?,Food
62,The Ginataang kuhol contains liquid that comes from the grated meat of a coconut,Who contains liquid that comes from the grated meat of a coconut,What is the relation between The Ginataang kuhol and the liquid that comes from the grated meat of a coconut,What does the Ginataang kuhol contains?,Food
63,The alcoholic beverage originates from the sovereign state in North America,What originates from the sovereign state in North America,What is the relation between The alcoholic beverage and the sovereign state in North America,From where does the alcoholic beverage originate?,Food
64, The wine has the hashtag rossesedidolceacqua,Who has the hashtag rossesedidolceacqua,What is the relation between The wine and the hashtag rossesedidolceacqua,What hashtag does the wine have?,Food
65,The bread made with the aid of leavening agents is the opposite of a type of bread,What is the opposite of a type of bread,What is the relation between The bread made with the aid of leavening agents and a type of bread,What is the opposite of The bread made with the aid of leavening agents ,Food
66, The type of bread common in parts of Spain has a mass of 60 gram,Who has a mass of 60 gram,What is the relation between The type of bread common in parts of Spain and a mass of 60 gram,What mass does the type of bread common in parts of Spain have?,Food
67,The food items served before the main courses of a meal  is followed by a primary liquid food,What is followed by a primary liquid food,What is the relation between The food items served before the main courses of a meal  and a primary liquid food,By what is The food items served before the main courses of a meal followed by,Food
68,The Scoville grade of hot pepper is 20000,Whose scoville grade is 20000,What is the relation between The Scoville grade of hot pepper and 20000,How much is the scoville grade of hot pepper?,Food
69,"The French, Dutch and Belgian liquor was founded by a physician and chemist of Leyden, Netherlands","Who was founded by a physician and chemist of Leyden, Netherlands","What is the relation between The French, Dutch and Belgian liquor and a physician and chemist of Leyden, Netherlands","Who was the founder of The French, Dutch and Belgian liquor ",Food
70,The culture of bread not inflated by yeast or other leaveners is Christianity,Whose culture is Christianity,What is the relation between The culture of bread not inflated by yeast or other leaveners and Christianity,What is The culture of bread not inflated by yeast or other leaveners ,Food
71,The milk processed by pasteurization has an effect on cheese produced with pasteurized milk,Who has an effect on cheese produced with pasteurized milk,What is the relation between The milk processed by pasteurization and the cheese produced with pasteurized milk,Where does The milk processed by pasteurization have an effect,Food
72,The brand of cheese was commercialized in 1952,What was commercialized in 1952,What is the relation between The brand of cheese and 1952  ,When was The brand of cheese commercialized ,Food
73,The company is a product or material produced as a kind of liquid,What is a product or material produced as a kind of liquid,What is the relation between The and a product or material produced as a kind of liquid  ,As what is The company produced?,Food
74,Was wollt ihr denn?! is the motto of a trademark,What is the motto of a trademark,What is the relation between The Was wollt ihr denn?! and the motto of a trademark,Whose moto is Was wollt ihr denn?! ,Food
75,The American grocery manufacturing and processing conglomerate is the parent organisation of brand of mustard,Which organisation has the American grocery manufacturing and processing conglomerate as a parent? ,What is the relation between The American grocery manufacturing and processing conglomerate and the brand of mustard,Who  is the parent organisation of brand of mustard,Food
76,The deep-fried strips or wedges of potato should be served in high temeperature,What should be served in high temeperature,What is the relation between The deep-fried strips or wedges of potato and the high temeperature,In what temperature should The deep-fried strips or wedges of potato be served,Food
77,The form of rusk  is a part of the same coincidence,What is a part of the same coincidence,What is the relation between The form of rusk  and a part of the same coincidence,Where is the form of rusk part of?,Food
78,The species of plant are a taxon of Crude drug,What is a taxon of Crude drug,The species of plant and the taxon of Crude drug,On which taxon are the species of plant?,Food
79,he Japanese snack food was created by Japanese confectionery company,What was created by Japanese confectionery company, The Japanese snack and the Japanese confectionery company,Who create the Japanese snack food?,Food
80,The herbal bitters is located in a city and seaport in northeastern Italy,Which one  is located in a city and seaport in northeastern Italy,What is the relation between The herbal bitters and a city and seaport in northeastern Italy   ,Where are the herbal bitters located?,Food
81,"The wine made in Lesbos, Greece is a facet of Greek island located in the northeastern Aegean Sea",What is a facet of Greek island located in the northeastern Aegean Sea,"What is the relation between The wine made in Lesbos, Greece and the Greek island located in the northeastern Aegean Sea   ","In which facet is the wine made in Lesbos, Greece of? ",Food
82,はるまき is the name of the type of dim sum in kana,Whose name in kana is  はるまき,What is the relation between The はるまき and the name of the type of dim sum in kana  ,How is the name of the type of dim sum in kana,Food
83,"The official name of class of products including bubliki, baranki and sushki breads  is Ring-shaped rolls",Whose official name is Ring-shaped rolls?,"The official name of class of products including bubliki, baranki and sushki breads  and Ring-shaped rolls","How is the official name of class of products including bubliki, baranki and sushki breads ?",Food
84,The use of herbal tea prepared from the leaves of the coffee plant is  the act of putting an object under warm water for a relatively long period of time,What  is  the act of putting an object under warm water for a relatively long period of time,What is the relation between The use of herbal tea prepared from the leaves of the coffee plant and the act of putting an object under warm water for a relatively long period of time,How is called The use of herbal tea prepared from the leaves of the coffee plant ,Food
85,The chemical compound is found in the taxon of species of plant,What is found in the taxon of species of plant,What is the relation between The chemical compound and the taxon of species of plant,Where is The chemical compound found ,Food
